Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2011-10-03,3530.5,3562.6,3512.45,3534.6,25146719.0,608.03
2011-10-04,3515.6,3537.8,3440.3,3460.7,36338415.0,919.2
2011-10-05,3473.2,3509.9,3452.85,3459.35,23377457.0,565.93
2011-10-07,3521.75,3564.2,3513.1,3535.75,28238237.0,648.15
2011-10-10,3514.8,3622.65,3514.8,3615.95,33825387.0,765.28
2011-10-11,3637.95,3675.15,3637.95,3652.45,35175414.0,794.35
2011-10-12,3650.95,3749.15,3613.5,3705.9,43607931.0,1005.6
2011-10-13,3724.1,3738.2,3647.45,3659.3,50810127.0,817.42
2011-10-14,3639.65,3700.05,3638.6,3693.4,27150179.0,586.18
2011-10-17,3720.65,3763.25,3711.0,3752.3,37169970.0,880.94
2011-10-18,3715.4,3720.0,3662.75,3689.3,25003572.0,631.88
2011-10-19,3730.45,3763.45,3730.45,3754.35,27323153.0,885.78
2011-10-20,3726.9,3730.45,3653.05,3699.1,42436550.0,1018.83
2011-10-21,3724.15,3739.9,3683.65,3692.15,32110987.0,835.63
2011-10-24,3740.35,3777.55,3736.2,3759.9,24802555.0,620.86
2011-10-25,3779.6,3870.45,3744.45,3864.05,40247585.0,1104.21
2011-10-26,3880.9,3892.85,3865.6,3873.5,9560851.0,175.71
2011-10-28,3951.35,4014.15,3951.35,3983.85,40571784.0,1038.8
2011-10-31,3966.35,3966.35,3930.95,3944.05,30644725.0,851.75
2011-11-01,3916.2,3950.15,3848.8,3868.15,38015252.0,901.07
2011-11-02,3839.5,3898.05,3832.65,3859.75,38284101.0,896.02
2011-11-03,3853.0,3861.45,3809.05,3848.5,48260481.0,961.21
2011-11-04,3897.4,3912.55,3837.7,3861.6,36366343.0,752.96
2011-11-08,3877.05,3883.45,3836.05,3859.1,24449112.0,491.56
2011-11-09,3874.25,3884.0,3783.3,3791.3,40605901.0,728.78
2011-11-11,3786.05,3845.35,3777.05,3819.0,41814786.0,940.39
2011-11-14,3842.65,3864.0,3724.9,3738.85,33262519.0,1031.65
2011-11-15,3720.7,3766.2,3667.2,3678.25,39278191.0,883.31
2011-11-16,3687.65,3691.35,3634.0,3675.35,31683279.0,756.61
2011-11-17,3667.8,3674.1,3595.5,3608.85,27016157.0,725.06
2011-11-18,3581.65,3590.75,3520.95,3563.3,29683377.0,872.41
2011-11-21,3544.15,3544.85,3464.0,3476.1,26864183.0,770.69
2011-11-22,3495.65,3542.0,3456.35,3515.5,39015757.0,959.22
2011-11-23,3498.6,3506.3,3424.85,3465.35,31054419.0,778.4
2011-11-24,3455.35,3551.1,3423.25,3539.9,41302506.0,1020.52
2011-11-25,3514.7,3561.35,3479.65,3493.0,33610102.0,940.02
2011-11-28,3528.5,3565.45,3524.05,3547.4,27649955.0,733.63
2011-11-29,3548.95,3585.2,3519.85,3555.4,26786495.0,791.5
2011-11-30,3536.5,3558.45,3499.7,3527.8,28916263.0,1205.72
2011-12-01,3614.35,3658.4,3594.55,3604.9,33635566.0,860.87
2011-12-02,3603.75,3691.4,3594.95,3686.8,28004652.0,829.71
2011-12-05,3675.8,3703.7,3667.75,3685.25,27448698.0,519.52
2011-12-07,3688.85,3733.8,3688.85,3705.35,27276921.0,664.31
2011-12-08,3701.95,3710.85,3624.8,3643.4,26532671.0,718.73
2011-12-09,3596.05,3596.05,3534.0,3561.3,23971933.0,701.01
2011-12-12,3592.85,3602.6,3457.7,3466.3,25318863.0,657.52
2011-12-13,3440.8,3516.85,3440.8,3503.75,25581919.0,638.58
2011-12-14,3488.3,3530.1,3443.45,3455.35,26892365.0,698.65
2011-12-15,3422.8,3433.7,3363.2,3404.65,32195665.0,735.56
2011-12-16,3416.2,3489.45,3348.3,3379.05,30415475.0,776.95
2011-12-19,3368.65,3388.05,3332.5,3382.0,34598252.0,764.08
2011-12-20,3390.1,3400.3,3292.7,3304.8,40747103.0,753.32
2011-12-21,3362.55,3398.8,3326.6,3387.1,46943209.0,1007.26
2011-12-22,3336.65,3444.5,3336.65,3434.6,38221556.0,649.5
2011-12-23,3464.8,3475.7,3428.2,3446.65,23703968.0,515.14
2011-12-26,3454.7,3493.3,3447.85,3480.7,14482743.0,373.16
2011-12-27,3480.35,3494.1,3442.3,3456.3,13603868.0,345.6
2011-12-28,3453.85,3465.4,3401.3,3413.1,18154470.0,457.12
2011-12-29,3394.25,3431.65,3383.5,3400.5,23983864.0,547.57
2011-12-30,3411.85,3444.8,3376.3,3390.55,16985972.0,432.41
2012-01-02,3413.35,3424.45,3310.7,3356.1,22326945.0,777.31
2012-01-03,3379.1,3419.1,3367.8,3414.05,32469219.0,961.96
